id	type	name	description	target	belongs_to	pc	ts_pc	PC3	VCAP	A375	A549	HA1E	HCC515	HT29	MCF7	HEPG2	summary
BRD-K95609758	CP	BMS-191011	large conductance calcium activated potassium channel opener, large conductance potassium channel activator	KCNMA1	Potassium channel activator	30.00, 30.00	1.52, 0.33	-28.24	48.03	99.66	99.44	-21.04	39.23	36.96	100.00	53.86	89.75
BRD-K96354014	CP	nifedipine	calcium channel blocker, L-type calcium channel blocker	CACNA1C, CACNA1D, CACNA1S, CACNA2D1, CACNA1F, CACNA1H, CACNB2, CALM1, CYP3A5, GLRA1, GLRA3, GLRB, KCNA1, KCNA5, NR1I2, TRPM3		10.00, 10.00	0.86, 0.28	-36.77	99.67	-93.46	25.56	-51.15	-25.69	43.87	-70.13	-92.02	-56.55
BRD-K30064966	CP	BRD-K30064966	caspase activator	CASP3		10.00, 10.00	0.91, 0.28	99.84	86.40	-42.03	65.89	27.32	46.55	75.93	56.61	32.55	69.33
BRD-K56301217	CP	ABT-737	BCL inhibitor	BCL2, BCL2L1, BCL2L2	BCL inhibitor	0.00, 0.00	1.83, 0.67	-95.46	-96.32	-69.56	-93.62	90.32	-49.70	-39.98	74.63	75.36	-90.23
BRD-K82746043	CP	navitoclax	BCL inhibitor, apoptosis stimulant	BCL2, BCL2L1, BCL2L2		60.00, 60.00	1.28, 0.36	90.82	93.58	99.95	99.98	-15.00	99.97	83.42	97.70	98.56	99.86
BRD-A67373739	CP	AICA-ribonucleotide	adenosine release stimulant, AMPK stimulant	ATIC, PRKAA1		50.00, 40.00	2.41, 0.59	99.62	99.96	22.90	99.58	94.47	65.68	86.68	95.56	28.75	99.37
BRD-K47983010	CP	BX-795	IKK inhibitor, PDK1 inhibitor, phosphoinositide dependent kinase inhibitor, serine/threonine kinase inhibitor, TBK1 inhibitor	PDPK1, CDK2, CHEK1, GSK3B, IKBKE, KDR, PDK1, TBK1	IKK inhibitor	0.00, 0.00	2.16, 0.44	-99.50	-99.80	-99.52	-45.55	-12.94	-99.34	-99.30	-99.37	-48.71	-99.65
BRD-K05653692	CP	DL-PDMP	ceramide glucosyltransferase inhibitor, glucosyltransferase inhibitor	ASAH1, UGCG		10.00, 0.00	0.67, 0.05	-99.90	-99.87	-99.68	96.95	-94.11	-99.10	-99.37	84.51	-100.00	-99.75
BRD-K01976263	CP	emetine	protein synthesis inhibitor	RPS2		20.00, 10.00	1.86, 0.60	34.37	-97.65	-53.51	91.78	99.49	90.87	-64.98	94.04	95.72	93.81
BRD-A68631409	CP	evodiamine	ATPase inhibitor, TRPV agonist	TRPV1		30.00, 10.00	0.84, 0.34	96.59	94.28	-72.24	-69.91	79.51	99.97	-31.75	82.13	58.86	95.30
BRD-K09778810	CP	FGIN-1-27	benzodiazepine receptor agonist, inositol monophosphatase inhibitor	TSPO		0.00, 0.00	0.65, 0.13	89.46	41.98	-38.27	-98.24	-39.10	60.32	-99.71	-71.05	93.21	-65.56
BRD-K85606544	CP	neratinib	EGFR inhibitor, receptor tyrosine protein kinase inhibitor, tyrosine kinase inhibitor	EGFR, ERBB2, ERBB4, KDR	EGFR inhibitor	0.00, 0.00	1.48, 0.31	-7.44	-24.37	-97.64	-73.51	-94.71	-99.71	-48.43	70.62	-68.78	-86.06
BRD-K33583600	CP	isoliquiritigenin	guanylate cyclase activator, aldose reductase inhibitor, glutamate receptor antagonist, histamine receptor antagonist, SIRT activator	AKR1B1, HRH2, SIRT1		0.00, 0.00	1.63, 0.59	-98.73	79.63	-99.49	85.79	84.52	82.75	-29.17	-96.93	-97.08	-96.51
BRD-K67566344	CP	KU-0063794	mTOR inhibitor	MTOR	MTOR inhibitor	0.00, 0.00	2.21, 0.76	-92.45	-99.37	-99.82	-57.11	-82.50	-98.88	-99.08	-99.41	-40.99	-98.66
BRD-K37865504	CP	LY-2183240	FAAH inhibitor, FAAH reuptake inhibitor	FAAH		20.00, 20.00	1.76, 0.63	-69.85	99.76	-89.77	69.11	-90.33	99.78	-91.29	13.82	-99.13	-94.36
BRD-K35960502	CP	niclosamide	DNA replication inhibitor, STAT inhibitor	STAT3		0.00, 0.00	2.25, 0.74	-94.35	-98.01	-96.43	-73.19	-99.24	-99.72	-69.24	-64.94	-96.48	-95.84
BRD-K48692744	CP	NU-1025	PARP inhibitor, DNA dependent protein kinase inhibitor	PARP1		20.00, 0.00	0.85, 0.18	95.64	41.18	31.26	97.18	-25.76	88.07	-70.89	35.66	68.20	81.49
BRD-K08589866	CP	linsitinib	insulin growth factor receptor inhibitor, insulin receptor antagonist	IGF1R, INSR, INSRR	IGF-1 inhibitor	10.00, 10.00	1.02, 0.38	76.14	-99.67	10.49	-81.08	98.81	-14.53	-39.24	-99.38	33.44	-58.15
BRD-K92991072	CP	PAC-1	caspase activator	CASP3		0.00, 0.00	1.80, 0.50	-86.32	-66.31	-96.52	-60.81	-98.40	58.21	-86.35	-89.98	-74.15	-91.65
BRD-K11853856	CP	PJ-34	PARP inhibitor	EEF2, PARP1, PARP15, PARP3	PARP inhibitor	10.00, 0.00	0.83, 0.23	95.02	-35.94	22.90	80.01	-21.57	-60.60	-15.80	84.41	37.40	49.15
BRD-K16554956	CP	PTB1	AMPK activator, tyrosine phosphatase inhibitor	PTPN1		50.00, 30.00	0.93, 0.32	22.90	-12.89	99.86	99.96	65.64	79.23	36.14	97.30	96.01	98.94
BRD-K02407574	CP	parbendazole	tubulin inhibitor	TUBB	Tubulin inhibitor	40.00, 40.00	0.89, 0.42	99.40	100.00	-44.20	-68.93	-96.75	99.73	-33.56	-35.03	91.68	99.30
BRD-K98548675	CP	parthenolide	NFkB pathway inhibitor, adiponectin receptor agonist	ADIPOR2, IKBKB, RELA	NFkB pathway inhibitor	0.00, 0.00	2.27, 0.65	-84.23	-84.10	-97.45	84.38	-92.37	69.26	-29.97	-87.07	-99.29	-92.58
BRD-K01292756	CP	pimozide	dopamine receptor antagonist, dopamine receptor, opioid receptor antagonist, serotonin receptor antagonist	DRD2, DRD3, CACNA1I, CALM1, HRH1, HTR1A, HTR2A, KCNA10, KCNH2	Dopamine receptor antagonist	0.00, 0.00	1.60, 0.57	-90.96	-98.06	20.08	-63.66	64.54	-60.44	-93.23	-75.39	-99.71	-92.10
