master_cpd_id	cpd_name	broad_cpd_id	top_test_conc_umol	cpd_status	gene_symbol_of_protein_target	target_or_activity_of_compound	cpd_smiles
30371	methotrexate	BRD-K59456551	66	FDA	DHFR	inhibitor of dihydrofolate reductase	CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
30620	lovastatin	BRD-A70155556	130	FDA	HMGCR	inhibitor of HMG-CoA reductase	CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC(O)CC(O)CC(O)=O)C12
32372	valdecoxib	BRD-K12994359	600	FDA	PTGS2	inhibitor of cyclooxygenase-2 (COX2)	Cc1onc(c1-c1ccc(cc1)S(N)(=O)=O)-c1ccccc1
32620	cyclophosphamide	BRD-A09722536	130	FDA	NA	DNA alkylator	ClCCN(CCCl)P1(=O)NCCCO1
32622	dacarbazine	BRD-K35520305	66	FDA	NA	DNA alkylator	CN(C)\N=N\c1[nH]cnc1C(N)=O
32653	niclosamide	BRD-K35960502	33	FDA	STAT3	inhibitor of STAT3 signaling	Oc1ccc(Cl)cc1C(=O)Nc1ccc(cc1Cl)[N+]([O-])=O
33166	prochlorperazine	BRD-K19352500	66	FDA	DRD2	inhibitor of dopamine receptor D2	CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1
35319	ifosfamide	BRD-A67097164	66	FDA	NA	DNA alkylator	ClCCNP1(=O)OCCCN1CCCl
36599	doxorubicin	BRD-K92093830	66	FDA	TOP2A	inhibitor of topoisomerase II	COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO
37190	ouabain	BRD-K35708212	270	probe	ATP1A1;ATP1A2;ATP1A3;ATP1A4;ATP1B1;ATP1B2;ATP1B3;ATP1B4	cardiac glycoside; inhibitor of the Na+/K+-ATPase	C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)C2=CC(=O)OC2)[C@H](O)[C@H](O)[C@H]1O
37479	BRD9647	BRD-K05649647	33	probe	NA	screening hit	COc1ccc(cc1)N(C(=O)c1ccccc1)S(=O)(=O)c1cc(OC)ccc1OC
39782	piperlongumine	BRD-K24132293	33	probe	NA	natural product; modulator of ROS levels	COc1cc(cc(OC)c1OC)\C=C\C(=O)N1CCC=CC1=O
42319	BRD-K26531177	BRD-K26531177	330	probe	NA	analog of the natural product piperlongumine	COc1cc(CCC(=O)N2CCC=CC2=O)cc(OC)c1OC
44503	NSC23766	BRD-A80213327	530	probe	RAC1;TIAM1;TRIO	inhibitor of RAC1-GEF interaction; prevents Rac1 activation by Rac-specific guanine nucleotide exchange factors (GEFs) TrioN and Tiam1	CCN(CC)CCCC(C)Nc1nc(C)cc(Nc2ccc3nc(C)cc(N)c3c2)n1
44511	pyrazolanthrone	BRD-K01567962	66	probe	MAPK10;MAPK8;MAPK9	inhibitor of Jun N-terminal kinase (JNK) 1/2/3	O=C1c2ccccc2-c2n[nH]c3cccc1c23
44554	C6-ceramide	BRD-K08608874	66	probe	MAPK1;PPP2CA;UGCG	inhibitor of glucosylceramide synthase; activator of MAP kinase (ERK); stimulator of protein phosphatase 2A	CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO)NC(=O)CCCCC
44580	topotecan	BRD-K55696337	66	FDA	TOP1	inhibitor of topoisomerase I	CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccc(O)c(CN(C)C)c4cc3Cn1c2=O
45093	N9-isopropylolomoucine	BRD-K71726959	400	probe	CCNB1;CDK1;CDK5;CDK5R1	inhibitor of CDK1/cyclin B and CDK5/p35 complexes	CC(C)n1cnc2c(NCc3ccccc3)nc(NCCO)nc12
46792	importazole	BRD-A02481876	200	probe	KPNB1	inhibitor of importin	CC(Nc1nc(nc2ccccc12)N1CCCC1)c1ccccc1
48589	etoposide	BRD-K37798499	28	FDA	TOP2A	inhibitor of topoisomerase II	COc1cc(cc(OC)c1O)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)c2cc3OCOc3cc12
50131	PRIMA-1	BRD-K15318909	170	probe	TP53	re-activator of the pro-apoptotic activity of mutant p53	OCC1(CO)N2CCC(CC2)C1=O
50134	tanespimycin	BRD-K81473043	33	clinical	HSP90AA1	inhibitor of HSP90	CO[C@H]1C[C@H](C)CC2=C(NCC=C)C(=O)C=C(NC(=O)\C(C)=C\C=C/[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O
50140	blebbistatin	BRD-A75817871	130	probe	MYH1;MYH2	inhibitor of myosin II ATPases	Cc1ccc2N=C3N(CCC3(O)C(=O)c2c1)c1ccccc1
50163	cytochalasin B	BRD-K26664453	33	probe	NA	inhibitor of actin polymerization	C[C@H]1[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]22OC(=O)\C=C\[C@H](O)CCC[C@@H](C)C\C=C\[C@H]2[C@H](O)C1=C
50715	NSC95397	BRD-K68143200	33	probe	CDC25A;CDC25B;CDC25C	inhibitor of cell division cycle 25 phosphatase (CDC25)	OCCSC1=C(SCCO)C(=O)c2ccccc2C1=O
50727	manumycin A	BRD-K78599730	30	probe	FNTA;FNTB	inhibitor of RAS farnesyltransferase	CCCC[C@@H](C)\C=C(C)\C=C(/C)C(=O)NC1=C[C@@](O)(\C=C\C=C\C=C\C(=O)NC2C(=O)CCC2=O)[C@@H]2O[C@@H]2C1=O
50732	mitomycin	BRD-K59670716	50	FDA	NA	DNA crosslinker	CO[C@]12[C@H]3N[C@H]3CN1C1=C([C@H]2COC(N)=O)C(=O)C(N)=C(C)C1=O
50737	tacrolimus	BRD-K69608737	74	FDA	PPP3CA;PPP3CB;PPP3CC;PPP3R1;PPP3R2	inhibitor of calcineurin	CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC
50747	pifithrin-alpha	BRD-K66874953	230	probe	NA	inhibitor of p53-dependent signaling	Cc1ccc(cc1)C(=O)Cn1c2CCCCc2sc1=N
50753	SB-431542	BRD-K67298865	66	probe	TGFBR1	inhibitor of the transforming growth factor beta type 1 receptor	NC(=O)c1ccc(cc1)-c1nc(c([nH]1)-c1ccccn1)-c1ccc2OCOc2c1
50769	staurosporine	BRD-K17953061	3.3	probe	NA	inhibitor of multiple kinases	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13
52123	SB-225002	BRD-K61323504	37	probe	CXCR2	inhibitor of chemokine receptor 2	Oc1cc(ccc1NC(=O)Nc1ccccc1Br)[N+]([O-])=O
52133	PD 153035	BRD-K26603252	33	probe	EGFR	inhibitor of EGFR	COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC
52430	cerulenin	BRD-K52075040	150	probe	FASN;HMGCS1	inhibitor of fatty acid synthase; inhibitor of HMG-CoA synthase	C\C=C\C\C=C\CCC(=O)[C@H]1O[C@H]1C(N)=O
52576	purmorphamine	BRD-K73397362	150	probe	SMO	activator of smoothened receptor	C1CCC(CC1)n1cnc2c(Nc3ccc(cc3)N3CCOCC3)nc(Oc3cccc4ccccc34)nc12
52582	GSK-3 inhibitor IX	BRD-K04923131	66	probe	NA	inhibitor of JAK/STAT signaling	O\N=C1/C(Nc2ccccc12)=C1/C(=O)Nc2cc(Br)ccc12
52882	dasatinib	BRD-K49328571	66	FDA	EPHA2;KIT;LCK;SRC;YES1	inhibitor of SRC, YES1, EPHA2, c-KIT, and LCK	Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1
52926	gefitinib	BRD-K64052750	66	FDA	AKT1;EGFR	inhibitor of EGFR and AKT1	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
52928	erlotinib	BRD-K70401845	66	FDA	EGFR;ERBB2	inhibitor of EGFR and HER2	COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC
53556	BRD-K94991378	BRD-K94991378	83	probe	NA	inducer of ROS	COCCOC(=O)N1C(=O)[C@]2([C@@H]([C@@H]3N([C@@H]2c2ccccc2OCCO)[C@H]([C@H](OC3=O)c2ccccc2)c2ccccc2)C(=O)NCC=C)c2cc(ccc12)C#CCC(C(=O)OC)C(=O)OC
53705	BIX-01294	BRD-K26818574	33	probe	EHMT2	inhibitor of G9a histone methyltransferase	COc1cc2nc(nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC)N1CCCN(C)CC1
54200	tacedinaline	BRD-K52313696	33	probe	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8	CC(=O)Nc1ccc(cc1)C(=O)Nc1ccccc1N
54210	LBH-589	BRD-K02130563	66	clinical	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8	Cc1[nH]c2ccccc2c1CCNCc1ccc(\C=C\C(=O)NO)cc1
55307	IC-87114	BRD-K75430629	66	probe	PIK3CD	inhibitor of PI3K catalytic subunit delta	Cc1ccccc1-n1c(Cn2cnc3c(N)ncnc23)nc2cccc(C)c2c1=O
55512	ciclosporin	BRD-A38030642	33	FDA	PPID	inhibitor of calcineurin by binding to cyclophilin D	CCC1NC(=O)C([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
56554	vorinostat	BRD-K81418486	33	FDA	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8	ONC(=O)CCCCCCC(=O)Nc1ccccc1
56703	sirolimus	BRD-K84937637	33	FDA	MTOR	inhibitor of mTOR	CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1O
58339	KU-55933	BRD-K25311561	66	probe	ATM	inhibitor of ataxia telangiectasia mutated (ATM)	O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1
58442	sitagliptin	BRD-K19416115	66	FDA	DPP4	inhibitor of dipetidyl peptidase-4	N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc1cc(F)c(F)cc1F
58455	AM-580	BRD-K06854232	530	probe	RARA	agonist of retinoic acid receptor alpha	CC1(C)CCC(C)(C)c2cc(ccc12)C(=O)Nc1ccc(cc1)C(O)=O
58472	PDMP	BRD-K05653692	210	probe	UGCG	inhibitor of ceramide glucosyltransferase	CCCCCCCCCC(=O)N[C@H](CN1CCOCC1)[C@H](O)c1ccccc1
58566	BRD-K71935468	BRD-K71935468	83	probe	NA	inducer of ROS	COC(=O)C(CC#Cc1ccc2NC(=O)[C@@]3([C@H]([C@H]4N([C@H]3c3ccccc3OCCO)[C@@H]([C@@H](OC4=O)c3ccccc3)c3ccccc3)C(=O)N3CCN(CC3)c3ncccn3)c2c1)C(=O)OC
58948	MG-132	BRD-K60230970	20	probe	PSMB1;PSMB2;PSMB5;PSMD1;PSMD2	inhibitor of the proteosome	CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1)C=O
60218	entinostat	BRD-K77908580	66	clinical	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8	Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1
60225	belinostat	BRD-K17743125	66	clinical	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8	ONC(=O)\C=C\c1cccc(c1)S(=O)(=O)Nc1ccccc1
60679	BEC	BRD-K53792571	270	probe	ARG1;ARG2	inhibitor of arginase I and II	N[C@H](CSCCB(O)O)C(O)=O
61097	apicidin	BRD-K64606589	33	probe	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8	CC[C@@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)CC)NC(=O)[C@H]2CCCCN2C1=O
61674	Merck60	BRD-K04466929	33	probe	HDAC1;HDAC2	inhibitor of HDAC1 and HDAC2	CC(=O)Nc1ccc(cc1)C(=O)Nc1cc(ccc1N)-c1cccs1
61724	BRD-A94377914	BRD-A94377914	33	probe	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8	CN1CCCCC1NC(=O)[C@H](CCCCCC(C)=O)C(=O)Nc1nc(cs1)-c1ccccc1
61775	FGIN-1-27	BRD-K09778810	33	probe	TSPO	activator of peripheral benzodiazepine receptor/translocator protein	CCCCCCN(CCCCCC)C(=O)Cc1c([nH]c2ccccc12)-c1ccc(F)cc1
62111	compound 1B	BRD-A42556028	66	probe	NA	screening hit	CCN(CC)c1ccc(cc1[N+]([O-])=O)C1=NNC(=O)CC1C
62602	vincristine	BRD-K82109576	130	FDA	NA	inhibitor of mictrotubule assembly	CC[C@]1(O)C[C@@H]2CN(C1)CCc1c([nH]c3ccccc13)[C@@](C2)(C(=O)OC)c1cc2c(cc1OC)N(C=O)[C@@H]1[C@]22CCN3CC=C[C@](CC)([C@@H]23)[C@@H](OC(C)=O)[C@]1(O)C(=O)OC
62690	cytarabine hydrochloride	BRD-K33106058	66	FDA	NA	inducer of DNA damage	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1
63349	itraconazole	BRD-A34817987	17	FDA	NA	anti-fungal agent; inhibitor of hedgehog signaling pathway	CCC(C)n1ncn(-c2ccc(cc2)N2CCN(CC2)c2ccc(OCC3COC(Cn4cncn4)(O3)c3ccc(Cl)cc3Cl)cc2)c1=O
63578	erastin	BRD-A25004090	66	probe	SLC7A11;VDAC1;VDAC2	modulator of voltage-dependent anion channels; inhibitor of solute carrier SLC7A11	CCOc1ccccc1-n1c(=O)c2ccccc2nc1C(C)N1CCN(CC1)C(=O)COc1ccc(Cl)cc1
96171	ML031	BRD-K38985961	530	probe	S1PR2	inhibitor of sphingosine 1-phosphate receptor 2	Cc1cc(C(=O)CN2C(=O)CCC2=O)c(C)n1Cc1ccccc1
100490	CIL56	BRD-K11740178	2.5	probe	NA	screening hit	ON=C1c2cc(ccc2-c2ccc(cc12)S(=O)(=O)N1CCCCC1)S(=O)(=O)N1CCCCC1
102193	FQI-1	BRD-A91658086	33	probe	NA	inhibitor of LSF1-mediated transcription	CCOc1ccccc1C1CC(=O)Nc2cc3OCOc3cc12
119769	BRD-K92856060	BRD-K92856060	33	probe	NA	screening hit	COc1ccc(cc1[N+]([O-])=O)S(=O)(=O)N(C(C)=O)c1ccc(OC(C)=O)c2ccccc12
122255	B02	BRD-K10882151	130	probe	RAD51	inhibitor of RAD51	O=c1n(Cc2ccccc2)c(\C=C\c2cccnc2)nc2ccccc12
142931	BRD-K45681478	BRD-K45681478	66	probe	NA	product of diversity oriented synthesis; screening hit	ClC1=C(NCC=C)C(=O)c2ccccc2C1=O
153820	ML050	BRD-A83255679	66	probe	GPER1	antagonist of GPR30	Brc1cc2OCOc2cc1C1Nc2ccccc2C2C=CCC12
154846	ML162	BRD-A36275421	33	probe	NA	selectively kills engineered cells expressing mutant HRAS	COc1ccc(cc1Cl)N(C(C(=O)NCCc1ccccc1)c1cccs1)C(=O)CCl
176181	CIL41	BRD-K05392795	160	probe	NA	screening hit	N=C(NOC(=O)C12CC3CC(CC(C3)C1)C2)c1ccccc1
182395	NSC30930	BRD-K29711668	66	probe	SRD5A2	inhibitor of steroid 5-alpha reductase	OC(=O)c1cc2cc(OCc3ccccc3)ccc2[nH]1
183526	CIL70	BRD-K20215950	40	probe	NA	screening hit	Clc1ccc(CC(=N)NOC(=O)c2cccc3ccccc23)cc1
185987	MI-1	BRD-K64497429	33	probe	MEN1	binder of menin; inhibitor of menin-MLL fusion protein	CC1(C)CN=C(S1)N1CCN(CC1)c1ncnc2sc3CCCCc3c12
199337	DBeQ	BRD-K59204667	66	probe	VCP	inhibitor of p97 in cells	C(Nc1nc(NCc2ccccc2)c2ccccc2n1)c1ccccc1
215497	Mdivi-1	BRD-K61128465	66	probe	DNM1	inhibitor of dynamin 1; inhibitor of mitrochondrial division inhibitor	COc1cc(c(Cl)cc1Cl)-n1c(=S)[nH]c2ccccc2c1=O
255961	ML083	BRD-K44241590	37	probe	PKM	activator of muscle pyruvate kinase	COc1ccc(cc1)S(=O)(=O)N1CCN(CC1)S(=O)(=O)c1ccc2OCCOc2c1
267119	CID-5951923	BRD-A86956638	66	probe	KLF5	modulator of KLF5 expression	CN(C1CCS(=O)(=O)C1)C(=O)COC(=O)\C=C\c1cccc(c1)[N+]([O-])=O
272805	IU1	BRD-K45841694	66	probe	USP14	inhibitor of the deubiquitinase activity of USP14	Cc1cc(C(=O)CN2CCCC2)c(C)n1-c1ccc(F)cc1
277354	dexamethasone	BRD-A35108200	33	FDA	NR3C1	agonist of glucocorticoid receptor	CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
290356	ML311	BRD-A40802033	66	probe	MCL1	inhibitor of MCL1	CCN1CCN(CC1)C(c1ccc(cc1)C(F)(F)F)c1ccc2cccnc2c1O
340501	VX-680	BRD-K59369769	66	clinical	AURKA;AURKB;AURKC	inhibitor of aurora kinases	CN1CCN(CC1)c1cc(Nc2cc(C)[nH]n2)nc(Sc2ccc(NC(=O)C3CC3)cc2)n1
345041	imatinib	BRD-K92723993	66	FDA	ABL1;BCR;KIT	inhibitor of BCR-ABL1 and c-KIT	CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)CC1
345712	O-6-benzylguanine	BRD-K92041145	66	clinical	MGMT	inhibitor of O(6)-alkylguanine DNA alkyltransferases	Nc1nc(OCc2ccccc2)c2[nH]cnc2n1
347775	decitabine	BRD-K79254416	66	FDA	DNMT1	inhibitor of DNA methyltransferase	Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
347812	CHIR-99021	BRD-K16189898	80	probe	GSK3B	inhibitor of GSK3 beta	Cc1c[nH]c(n1)-c1cnc(NCCNc2ccc(cn2)C#N)nc1-c1ccc(Cl)cc1Cl
347813	BI-2536	BRD-K64890080	33	clinical	PLK1	inhibitor of polo-like kinase 1 (PLK1)	CC[C@H]1N(C2CCCC2)c2nc(Nc3ccc(cc3OC)C(=O)NC3CCN(C)CC3)ncc2N(C)C1=O
348633	BRD-K61166597	BRD-K61166597	66	probe	NA	inhibitor of HDAC1 and HDAC2	Nc1ccc(cc1NC(=O)c1ccc(cc1)C(=O)NCCc1ccncc1)-c1cccs1
348990	axitinib	BRD-K29905972	66	FDA	FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB	inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta	CNC(=O)c1ccccc1Sc1ccc2c(\C=C\c3ccccn3)n[nH]c2c1
348991	selumetinib	BRD-K57080016	270	clinical	MAP2K1;MAP2K2	inhibitor of MEK1 and MEK2	Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO
348992	NVP-BEZ235	BRD-K12184916	17	clinical	MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG	inhibitor of PI3K and mTOR kinase activity	Cn1c2cnc3ccc(cc3c2n(-c2ccc(cc2)C(C)(C)C#N)c1=O)-c1cnc2ccccc2c1
348997	GW-843682X	BRD-K90382497	33	probe	PLK1;PLK3	inhibitor of PLK1 and PLK3	COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(s3)C(N)=O)c2cc1OC
349002	vandetanib	BRD-K77625799	66	FDA	EGFR;KDR	inhibitor of VEGFR2 and EGFR	COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1
349006	sorafenib	BRD-K23984367	66	FDA	BRAF;FLT3;KDR;RAF1	inhibitor of BRAF, CRAF, and VEGFR2	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1
350548	ML029	BRD-K59962020	33	probe	NA	inhibitor of antigen receptor-mediated NFkappaB activity	Cc1cc2nc(NCCCO)n(CC(=O)c3cc(c(O)c(c3)C(C)(C)C)C(C)(C)C)c2cc1C
351043	temozolomide	BRD-A94153989	66	FDA	NA	DNA alkylator	CN1N=Nc2c(ncn2C1=O)C(=O)N
362063	QW-BI-011	BRD-K72264770	33	probe	EHMT2	inhibitor of G9a histone methyltransferase	COC(=O)c1ccc2n(CCCc3ccccc3)c(NC(=O)c3ccccc3)nc2c1
362207	BRD-K90370028	BRD-K90370028	33	probe	NA	screening hit	CC(=O)N[C@@H]1C\C=C\CCC(=O)N[C@@H](COC1=O)c1ccccc1
362338	SNX-2112	BRD-K71281111	37	probe	HSP90AA1;HSP90B1	inhibitor of HSP90alpha and HSP90beta	CC1(C)Cc2c(c(nn2-c2ccc(C(N)=O)c(N[C@H]3CC[C@H](O)CC3)c2)C(F)(F)F)C(=O)C1
