Gene	Coef	Pvalue	FDR	WTmean	MUTmean	MUTminusWT_diff	WT_samples	MUT_samples
FLJ43860	5.20056327007908	5.15628012959764e-06	0.00268660610038214	-1.27002977427065	11.8121547884038	13.0821845626745	9626	95
XIRP2	2.33898963970472	7.09910232845732e-06	0.00339282340444979	-1.60759404969264	7.38697822631391	8.99457227600656	9218	503
KIF26B	3.91180319787687	7.26501094391643e-06	0.00339282340444979	-1.33766212638143	10.3923479249951	11.7300100513766	9559	162
CTNND2	3.13718561659344	7.35082643805654e-06	0.00339282340444979	-1.43892559796812	9.69869538897099	11.1376209869391	9462	259
UNC5D	3.59223811311855	7.44193220525008e-06	0.00339282340444979	-1.36461434585555	9.78107716873697	11.1456915145925	9527	194
HEG1	4.67329600220225	8.43397640998764e-06	0.00372858429834272	-1.27335991729907	10.3191842084587	11.5925441257577	9611	110
MACF1	2.49959944870277	8.96922640361865e-06	0.00375482047184996	-1.51978826913433	7.61133079062674	9.13111905976107	9319	402
ZNF536	2.67864852812531	9.17062350178939e-06	0.00375482047184996	-1.49982195084431	8.32113082295985	9.82095277380416	9367	354
FLG	2.02889142944676	9.40815039595272e-06	0.00375482047184996	-1.67245879788362	6.33192019589872	8.00437899378234	9077	644
PKHD1L1	2.35747557197552	9.52281564592833e-06	0.00375482047184996	-1.60591993520732	7.94491859852036	9.55083853372768	9249	472
SCN1A	2.90658093972564	9.78146442111901e-06	0.00375531011683435	-1.42577120126607	7.88764077601965	9.31341197728572	9425	296
HECTD1	4.36923674072434	1.01345316086881e-05	0.00379109440100387	-1.28067374100874	9.57640314701629	10.857076888025	9597	124
ZCWPW2	7.10235142753513	1.09062218944217e-05	0.00397777178044295	-1.22193027734085	15.630946326996	16.8528766043368	9675	46
ANK3	2.64572517325587	1.25819078300981e-05	0.00447701105690978	-1.46973170083854	7.08970367986194	8.55943538070048	9349	372
LRP1B	1.92452300959513	1.73852163174866e-05	0.00601879315604296	-1.80519068368728	7.33680468353707	9.14199536722435	9016	705
ULK4	5.09778882411878	1.79042606545593e-05	0.00601879315604296	-1.23485945235515	9.36416212545148	10.5990215778066	9636	85
IGSF10	3.18696102617983	1.82321257831338e-05	0.00601879315604296	-1.36197879279271	8.00926656908029	9.371245361873	9493	228
DNAH7	2.45553637144046	1.85650621716316e-05	0.00601879315604296	-1.55772979864228	8.12941521423719	9.68714501287947	9304	417
DMXL2	3.38947134165326	2.08705420703858e-05	0.00661913778836649	-1.31669211823205	7.38285751819305	8.6995496364251	9526	195
ANO4	3.6108697961118	2.21526171976041e-05	0.00687626664459246	-1.34061737267182	9.80961139907318	11.150228771745	9548	173
NPAS4	4.1377486663375	2.31946590616721e-05	0.00692935395325055	-1.28785658192774	9.68967776449568	10.9775343464234	9592	129
KCNQ3	3.9662682039618	2.32735858324269e-05	0.00692935395325055	-1.3158958496476	10.5761580390384	11.892053888686	9579	142
PTPRD	2.74698474282865	2.41616105982512e-05	0.0069371718829974	-1.41152202346657	7.20115458142711	8.61267660489369	9417	304
APC	3.18990235818677	2.42508579088949e-05	0.0069371718829974	-1.36969020097494	8.77529393410066	10.1449841350756	9503	218
MED12L	3.0883977259996	2.48891445441894e-05	0.00695538637473161	-1.39034054873819	8.91884138311253	10.3091819318507	9487	234
DYNC2H1	3.02595684198862	2.52744229403238e-05	0.00695538637473161	-1.36666816871804	7.65080854978266	9.0174767185007	9479	242
BCLAF1	3.48392340967224	2.57447984259036e-05	0.00695538637473161	-1.31527051590806	7.87922556557484	9.1944960814829	9538	183
CNTN1	3.81350419775006	2.6560862400502e-05	0.00697189126410236	-1.30009105335257	9.00214537221425	10.3022364255668	9572	149
DNAH3	2.43137166243761	2.68822714855897e-05	0.00697189126410236	-1.52855829699148	7.83793372999936	9.36649202699085	9320	401
KALRN	2.89935208140828	2.72395504869309e-05	0.00697189126410236	-1.4614269518669	10.1617172311563	11.6231441830232	9454	267
NLRP13	3.61495657466712	2.81708719557028e-05	0.00708594570623704	-1.32416561163492	9.02122625077525	10.3453918624102	9550	171
IL23R	6.34043472940421	2.92013025208531e-05	0.00713927943532456	-1.20595153440846	10.7152593070097	11.9212108414181	9669	52
PCLO	1.99198900439342	2.94527902547081e-05	0.00713927943532456	-1.69828150992251	6.9788335072939	8.67711501721641	9098	623
CXorf22	3.9794238489939	3.07379579417925e-05	0.00713927943532456	-1.27570215186464	8.33873278180396	9.6144349336686	9586	135
SLCO1B3	3.80245092638661	3.12355441405151e-05	0.00713927943532456	-1.32511008988308	10.4513354831135	11.7764455729966	9570	151
APOB	2.1005740681809	3.13106053981514e-05	0.00713927943532456	-1.58690060410036	6.49367672342991	8.08057732753026	9186	535
CHD7	3.0430201121289	3.13190680554371e-05	0.00713927943532456	-1.37158493558931	8.2405928947243	9.6121778303136	9489	232
CARD11	3.43391098369006	3.35402646919416e-05	0.00752798340908825	-1.32312349468453	8.28852453590271	9.61164803058724	9538	183
CDH9	3.10950046531739	3.42421438422804e-05	0.0075690702502277	-1.35902644180389	8.13621742551465	9.49524386731854	9499	222
MYCBP2	2.94639339468886	3.49224365153256e-05	0.0076042302436132	-1.40113091574351	8.83155904243428	10.2326899581778	9475	246
KCNT1	4.07123826562782	3.6446839033325e-05	0.00763210839874688	-1.25333009748149	7.32182843733349	8.57515853481499	9595	126
COL5A1	2.91597584947295	3.65175131628357e-05	0.00763210839874688	-1.39219576122979	8.10148819456666	9.49368395579645	9465	256
NOS1	3.07521250892409	3.66198908706753e-05	0.00763210839874688	-1.338242993152	6.87687870598477	8.21512169913678	9489	232
ITSN2	4.07491130958464	3.72303907878274e-05	0.00763403841554005	-1.28066224558202	9.57551345661122	10.8561757021932	9597	124
EIF4G3	4.26173132334004	3.76756985344358e-05	0.00763403841554005	-1.2640182022595	9.21712376175531	10.4811419640148	9608	113
HOMER2	7.46461753910444	4.21945906655169e-05	0.00834714464074567	-1.18910636645116	11.4817571346823	12.6708635011335	9685	36
KCNQ2	4.28695745483345	4.23393449458619e-05	0.00834714464074567	-1.2598365248197	9.04393784942742	10.3037743742471	9610	111
CPS1	3.24676730737346	4.3048924373295e-05	0.00837387676909334	-1.32515970342452	7.74997078003908	9.0751304834636	9525	196
USH2A	1.88970802993882	4.4432812578796e-05	0.00852934608831652	-1.67318104131362	6.4685240066025	8.14170504791612	9087	634
DAPK1	4.31592062203136	4.58738137661558e-05	0.00869159829914867	-1.26045892936886	9.38555357214788	10.6460125015167	9613	108
COL11A1	2.47444831840272	4.84152820887669e-05	0.00896320001269248	-1.49759357257289	8.40199157570838	9.89958514828127	9372	349
GABBR2	4.93057439939656	4.85360751938245e-05	0.00896320001269248	-1.25173013363241	11.7350592177067	12.9867893513391	9639	82
DMXL1	3.47802916647704	5.02855315814954e-05	0.00901618892041538	-1.27881809501172	6.72262045545832	8.00143855047004	9555	166
BAI3	2.77769009162433	5.02979599845085e-05	0.00901618892041538	-1.42581531873236	8.67381402619948	10.0996293449318	9448	273
ZDBF2	3.10355136926879	5.07130219416615e-05	0.00901618892041538	-1.35687458882863	8.30528270641319	9.66215729524182	9505	216
ASPM	2.72669854490944	5.12950634309738e-05	0.00901618892041538	-1.37615855381518	6.89469744402661	8.2708559978418	9446	275
C9orf131	4.90335646171802	5.40823646937393e-05	0.00929229701357972	-1.23938288464587	10.2836551569588	11.5230380416047	9639	82
SLC12A5	3.58749273928049	5.41397797076068e-05	0.00929229701357972	-1.29136905844305	8.00508424215966	9.29645330060271	9565	156
ZFHX4	2.03962512473031	6.24809041813617e-05	0.0103425284425051	-1.66247836401132	8.06406062507174	9.72653898908307	9201	520
MYT1L	2.99171348613844	6.27446154426985e-05	0.0103425284425051	-1.36206469308795	8.22304283730265	9.58510753039061	9498	223
TRPS1	3.31162301755638	6.28299273519601e-05	0.0103425284425051	-1.32983031517255	8.69285425384638	10.0226845690189	9539	182
CKB	8.71827450124018	6.30944568773016e-05	0.0103425284425051	-1.16305644678828	6.64155189928935	7.80460834607764	9695	26
KIAA0802	5.56462061178892	6.38411046060742e-05	0.0103486430566446	-1.22888431325989	12.1494094481447	13.3782937614046	9658	63
SAGE1	3.98681864824543	6.66760035861999e-05	0.0106894089705392	-1.26444850817425	8.47778137486666	9.74222988304091	9599	122
WFS1	5.20156829641823	6.75123818508906e-05	0.0107058493350287	-1.2262707651443	10.2867743860789	11.5130451512232	9650	71
ZFPM2	3.03552258000289	6.87070026304995e-05	0.0107781339932942	-1.3341500431141	7.18694889241703	8.52109893553113	9502	219
EPHA5	3.34199935410226	7.0954764297464e-05	0.01101233038655	-1.33757954394428	9.57885059658121	10.9164301405255	9547	174
GCN1L1	3.36590435056791	7.2429177666778e-05	0.0111228344524276	-1.29351772905522	7.25958658440331	8.55310431345853	9549	172
PPFIA1	4.39963490288571	7.32158891131808e-05	0.0111265271486687	-1.25561793286541	9.9965251605403	11.2521430934057	9623	98
EPPK1	2.59775504976504	7.4148135133623e-05	0.0111520324068498	-1.38587923339151	6.43253702260842	7.81841625599993	9418	303
NEBL	3.60976636286086	7.56915626796554e-05	0.0112680021217703	-1.31062649745121	9.39164983909975	10.702276336551	9568	153
SLC15A2	4.49310384676963	7.73199117160798e-05	0.0113941433537969	-1.25071337490583	9.62591358621476	10.8766269611206	9624	97
POLQ	3.02822713111611	7.93879040655582e-05	0.0115819013241243	-1.36669354594565	9.02604958694378	10.3927431328894	9511	210
VCAN	2.59316675244541	8.07556486218452e-05	0.0115969668946572	-1.41071847243388	7.55987385849004	8.97059233092392	9430	291
TOX2	4.64083966101844	8.10809941226293e-05	0.0115969668946572	-1.2461348207418	10.1080751815067	11.3542100022485	9632	89
COL6A6	2.67937899168076	8.2896753939869e-05	0.0117219272703145	-1.38904963068618	7.46629929060351	8.85534892128969	9450	271
PLD1	4.24072839705104	8.36161667517931e-05	0.0117219272703145	-1.26513111520958	10.2270580071116	11.4921891223212	9617	104
SYNE2	2.28814082030568	8.43650944809807e-05	0.0117219272703145	-1.48123021335602	7.35492796842137	8.83615818177738	9348	373
ABCA12	2.70457571939336	8.63526751746797e-05	0.0118848979068245	-1.39788364029211	7.87702294571044	9.27490658600255	9453	268
SLITRK5	3.44994085197964	8.84368910191374e-05	0.0119770690261869	-1.32826800593042	9.97761564043629	11.3058836463667	9561	160
ZNF609	4.67313668542967	8.86642987749802e-05	0.0119770690261869	-1.23972324667299	9.9155447377654	11.1552679844384	9636	85
TMEM200A	4.29627677758321	9.12954698321641e-05	0.0122193542145086	-1.26544739094695	10.3681660572512	11.6336134481982	9618	103
SERPINB2	5.07476419261026	9.32375482755524e-05	0.0123658417435639	-1.22789183489763	10.0313598517095	11.2592516866071	9647	74
ATP6V1B1	5.4284941480879	0.000101233237638544	0.0133053306658443	-1.22624373735611	11.9538122079314	13.1800559452875	9659	62
PTK2	4.75544366898317	0.000103203177315777	0.0134431353023202	-1.23905234029346	10.5318963817299	11.7709487220234	9641	80
FBN1	2.7998732438452	0.000104147728047157	0.013446116853805	-1.35838610530144	7.39877817555037	8.75716428085181	9481	240
ADAMTS18	2.92415113962917	0.000108266764585243	0.0136248379984761	-1.34296453333429	7.29334664503641	8.6363111783707	9495	226
ZNF470	5.44375739845562	0.000108426536233442	0.0136248379984761	-1.22960078489309	12.7015029481363	13.9311037330294	9660	61
ZNF512B	5.11200950264018	0.000108430740688424	0.0136248379984761	-1.22769857221525	10.820213286822	12.0479118590372	9652	69
P2RY12	8.13940004459359	0.000109698968508975	0.0136248379984761	-1.18063468339696	12.6637303192309	13.8443650026279	9694	27
LRRTM1	4.02319709923729	0.000110696131192204	0.0136248379984761	-1.27572792333522	10.3153367240824	11.5910646474176	9609	112
SPEG	2.73167703730554	0.000111135493989901	0.0136248379984761	-1.35641158029347	6.90757679193644	8.26398837222992	9469	252
PCDHGB4	4.64675362509013	0.000115373861185754	0.014026577173658	-1.24104666962854	10.3380228873371	11.5790695569656	9638	83
LAMA5	2.76898589363983	0.000117947813181844	0.0141930610698978	-1.37720093010122	8.02452063073459	9.40172156083581	9478	243
BCORL1	3.40132495572576	0.000118688974606041	0.0141930610698978	-1.27865817732224	7.22572797343778	8.50438615076001	9565	156
C15orf39	5.48219837557729	0.000120052070845542	0.0142393468419969	-1.20493854494492	9.13498845808328	10.3399270030282	9662	59
TNIK	3.66552471431758	0.000121236668706981	0.0142457190251326	-1.31678648849754	11.2560250111598	12.5728114996573	9586	135
TACC2	2.86306550337072	0.000123251392569344	0.0142457190251326	-1.35019260157989	7.47980904788406	8.83000164946396	9492	229
PLEC	2.30901155431746	0.000123486593592163	0.0142457190251326	-1.453459881255	6.70268999327041	8.15614987452541	9350	371
AHNAK	2.29643286555695	0.000124011674288289	0.0142457190251326	-1.40454737498014	5.77982763896657	7.18437501394671	9366	355
LEPR	3.56459432296481	0.000125483491907768	0.014302177058144	-1.3100491330254	10.101389467737	11.4114386007624	9578	143
KIF26A	4.15622579612517	0.000128457482391081	0.0144729086394844	-1.23645049683759	7.49101024151823	8.72746073835582	9616	105
OR6Y1	4.90019536858176	0.000128965530408731	0.0144729086394844	-1.22422438493426	9.55325323283623	10.7774776177705	9647	74
SGMS1	5.96135125000363	0.000133110075460668	0.0148239915335549	-1.20805312560272	11.59859750946	12.8066506350627	9671	50
BAI2	3.95627842342927	0.000134849007849928	0.0149038801175955	-1.2768224925819	10.3058283760704	11.5826508686523	9608	113
MX2	5.47109152743883	0.000138863089728534	0.0149419057907276	-1.20886256867785	9.967018946606	11.1758815152838	9663	58
DGKI	3.32782230572901	0.000140347331892105	0.0149419057907276	-1.32981479933352	9.86023282085207	11.1900476201856	9558	163
KCTD18	7.85811732242858	0.000141073331258755	0.0149419057907276	-1.18099791195694	12.29503065599	13.476028567947	9693	28
HSPG2	2.64634125132146	0.00014217943018576	0.0149419057907276	-1.38426068915001	7.73684883409179	9.1211095232418	9463	258
ABCA13	2.12213552296653	0.000142510879276339	0.0149419057907276	-1.42921955898997	5.32693402626583	6.75615358525581	9308	413
ANKRD52	5.46184569955326	0.00014296774787964	0.0149419057907276	-1.21212556171307	10.5106448379739	11.722770399687	9663	58
ZNF462	3.27312321160474	0.000145023357740309	0.0149419057907276	-1.30769417306878	8.44347645826887	9.75117063133765	9556	165
FRYL	3.2690205505515	0.000146080008566263	0.0149419057907276	-1.30767114369817	8.44214270878049	9.74981385247865	9556	165
WDFY3	2.71466421563393	0.000146132580112321	0.0149419057907276	-1.32508234527865	5.99168134288137	7.31676368816002	9478	243
MYO5A	3.96345366530213	0.000146336126520549	0.0149419057907276	-1.26252102738931	9.27635289171506	10.5388739191044	9610	111
FRAS1	2.54510039826276	0.000147549432748294	0.0149419057907276	-1.3920777487294	7.22223392917004	8.61431167789945	9439	282
AFF3	3.20039687905131	0.000148636489355571	0.0149419057907276	-1.33329250648291	9.40534652987233	10.7386390363552	9548	173
HIVEP3	3.13837287187122	0.000148779103634028	0.0149419057907276	-1.31892414465568	8.06965349450819	9.38857763916387	9538	183
GPR98	1.95439590416619	0.000149531718791297	0.0149419057907276	-1.57298271168932	6.59039553022293	8.16337824191224	9208	513
KIAA0319	3.94687908097385	0.000153514928096415	0.0152355733741401	-1.26555774016195	9.25492375004357	10.5204814902055	9607	114
FOXD2	8.43412800108166	0.00015506583570301	0.0152855099802109	-1.17467608638317	11.9867544761109	13.1614305624941	9697	24
SPTBN4	2.99986834456502	0.000158534243340827	0.0154498968536816	-1.3323490424967	8.09935065076638	9.43169969326308	9525	196
TEX10	5.37842969586294	0.000160140145884666	0.0154498968536816	-1.22134102788531	11.8211035457119	13.0424445735972	9662	59
PIK3CA	-1.71788584771717	0.000160613063817301	0.0154498968536816	-1.53649603249999	3.92379745710323	5.46029348960322	9019	702
GTF3C1	3.05879353133884	0.000160969519621605	0.0154498968536816	-1.31947919736749	7.84810258656055	9.16758178392804	9533	188
TMEM131	3.90057041181722	0.000164172537928764	0.0156543343519134	-1.26370031512586	9.19009491591463	10.4537952310405	9608	113
ODZ3	2.97867703888042	0.000167006569820992	0.015821161344925	-1.38618572156766	9.74977435884711	11.1359600804148	9508	213
MYH11	2.9190691348044	0.000169836289660554	0.0159854298700504	-1.33045553671006	7.55404140565698	8.88449694236704	9515	206
DBF4	6.66543428682482	0.00017261807111136	0.0161431092272028	-1.20706607695482	15.3912873927018	16.5983534696566	9683	38
UNC93A	4.73222055569236	0.000174219450673679	0.0161890927762949	-1.223545387565	9.18346527412591	10.4070106616909	9645	76
DNAH8	2.13359264883909	0.00017572509530966	0.0162256545283078	-1.4934889828872	6.71577664311181	8.20926562599901	9305	416
PREX1	3.25938680194246	0.000178436573109123	0.0163723972647107	-1.27388268315189	6.67805309752276	7.95193578067465	9560	161
FAM135B	2.35052306401188	0.000180996044857641	0.0165034456151758	-1.48235533810011	8.44804808364243	9.93040342174253	9388	333
OR7A17	6.9878227153263	0.000186900203413893	0.0169359445192875	-1.18256464254665	10.3632879446618	11.5458525872084	9687	34
CTTNBP2	3.37240261297971	0.000200240730168668	0.0178108174428653	-1.27342471819118	7.34691165549521	8.62033637368639	9573	148
SLC6A15	5.17288823316856	0.000201221387432934	0.0178108174428653	-1.20050879936138	7.94455791614033	9.14506671550171	9659	62
CUBN	2.24163984378407	0.000202070795641357	0.0178108174428653	-1.43881294057296	6.84724652229736	8.28605946287032	9373	348
KCNC2	4.27354630940821	0.000202960099385299	0.0178108174428653	-1.24187615061908	9.29210382695885	10.5339799775779	9629	92
C10orf137	4.48416975451165	0.000203027659543611	0.0178108174428653	-1.24046925766384	10.2709735317252	11.5114427893891	9638	83
PCDHGB5	5.66630844324504	0.000204697724110383	0.0178108174428653	-1.21563826752591	12.5164328168686	13.7320710843946	9669	52
TLL2	4.17362720076267	0.000205100920584096	0.0178108174428653	-1.2318904675375	7.85201924809906	9.08390971563655	9625	96
PXDNL	2.48768748457308	0.000214391960253866	0.0185074811132761	-1.42548709715098	8.23769946135342	9.6631865585044	9436	285
RBL2	4.87494991483062	0.000216007812827468	0.0185372822431761	-1.20491238336957	7.63278872539425	8.83770110876382	9652	69
ADCY8	2.66581036648063	0.000220945324738863	0.0188501248106156	-1.39133808369537	8.37497485732008	9.76631294101545	9473	248
ODZ4	3.08344605926176	0.000223907463079688	0.0189231722536429	-1.33055947161797	8.67608927902372	10.0066487506417	9538	183
MYH1	2.48539828119911	0.000224868253379083	0.0189231722536429	-1.43764838822089	8.36517782223776	9.80282621045865	9428	293
ANKRD30A	2.52887411620506	0.00022569278032311	0.0189231722536429	-1.41427510582919	8.06607041938463	9.48034552521382	9442	279
SLC9A4	3.55782269690077	0.000229758031403313	0.0191539424008168	-1.28200809264186	8.93790744375383	10.2199155363957	9588	133
ZFAT	3.51974650172053	0.000232408846464859	0.0192648446652035	-1.2662173448797	7.73189390396133	8.99811124884104	9587	134
SUV420H1	4.56378057902417	0.00023572993842911	0.019429740518318	-1.23409085622824	10.2203362099742	11.4544270662024	9643	78
WDR49	3.61561151362077	0.000240053325813953	0.0196153796855582	-1.28724932189495	9.72992845865163	11.0171777805466	9593	128
MYO10	3.48038436515162	0.000240671256680713	0.0196153796855582	-1.26398161740355	7.50648801629285	8.7704696336964	9586	135
ITSN1	3.58428171882796	0.000244758607627413	0.0198376851482018	-1.25642376851164	7.48801364464389	8.74443741315553	9594	127
CCDC18	4.69445896393653	0.000248989054135221	0.0199571734605871	-1.23068545358136	10.5548130674254	11.7854985210067	9648	73
ABCB10	5.90107322182723	0.000251795590610617	0.0199571734605871	-1.19759777650412	10.5131866401415	11.7107844166456	9675	46
ADCY10	3.30774614831577	0.000252323780010873	0.0199571734605871	-1.29655656471908	8.57630174714434	9.87285831186341	9569	152
MARCO	3.68603045450281	0.000252376238932396	0.0199571734605871	-1.28425849143857	9.59074066638412	10.8749991578227	9594	127
CYP2C19	3.52847820631957	0.000254721636496063	0.0199571734605871	-1.29551441243163	8.84423865571116	10.1397530681428	9574	147
GPR112	2.39741153864711	0.000254898960389101	0.0199571734605871	-1.38292303000065	6.3662255541234	7.74914858412405	9419	302
PCDH8	3.99846338357812	0.000255808584353265	0.0199571734605871	-1.25445499954894	9.44559547480754	10.7000504743565	9619	102
CNTNAP1	3.83965249667054	0.000259001082566409	0.0200128023382438	-1.25474862427174	8.69306477858938	9.94781340286112	9611	110
ZBTB38	4.18331442226659	0.000259265175264108	0.0200128023382438	-1.24713841944132	9.84286889749571	11.090007316937	9629	92
GRM8	2.84672152632313	0.000263003337128639	0.0201752190552421	-1.35896781223596	8.77263892100863	10.1316067332446	9513	208
RANBP17	4.28675507912161	0.000264135090791092	0.0201752190552421	-1.23397234853366	8.90572421811182	10.1396965666455	9633	88
EPHB2	3.57855639686258	0.000267935272832578	0.0202820799389965	-1.28553998719149	9.51742368147187	10.8029636686634	9592	129
DLC1	3.03771116264679	0.000268314581412456	0.0202820799389965	-1.35776200864268	10.4155671137425	11.7733291223851	9543	178
PTPN22	4.65224740870118	0.000279584692864206	0.0210250571350304	-1.22921902319744	10.204378575065	11.4335975982624	9647	74
DOK1	7.48620287547231	0.000281804992635603	0.0210833489105682	-1.17844201155085	11.4102327046962	12.5886747162471	9693	28
COL6A3	2.19050509826189	0.000284198300655667	0.0211539235115588	-1.40398056689673	5.80549022225977	7.2094707891565	9368	353
ADAMTSL3	3.0154168370741	0.000287096663179173	0.0212611838534058	-1.31664321424094	8.15786395562106	9.474507169862	9542	179
RFWD2	5.24600711194275	0.000293061303721689	0.0214829849939474	-1.20126574749972	8.87509265976068	10.0763584072604	9664	57
GBA3	4.58300597581587	0.000294781893443275	0.0214829849939474	-1.21265479835462	7.80136352499246	9.01401832334708	9645	76
PASK	3.87532023991337	0.000295540251611976	0.0214829849939474	-1.24499151913844	8.18341088948266	9.4284024086211	9615	106
SORL1	2.91450355390907	0.000295981903062816	0.0214829849939474	-1.34534868572335	8.67994406395065	10.025292749674	9524	197
SP100	4.12481438944104	0.000302739587858157	0.0217599578119485	-1.26158623170977	11.2193584588257	12.4809446905355	9628	93
ZNF221	5.43144034580668	0.000302991835682399	0.0217599578119485	-1.20533017619862	10.3769856841007	11.5823158602993	9668	53
JARID2	3.62840772384622	0.000305329620657126	0.0217599578119485	-1.29630957116447	11.0861155450247	12.3824251161892	9600	121
PNPT1	5.63607933417475	0.000307118091250995	0.0217599578119485	-1.20160314617824	10.5868107674503	11.7884139136286	9672	49
UTP20	3.22751856265924	0.000307255556190376	0.0217599578119485	-1.31865125711414	9.89348578978571	11.2121370468999	9568	153
CHST3	6.48893433177287	0.000310242378348139	0.0218653432740145	-1.18950854894388	11.2445644795031	12.434073028447	9684	37
RORA	6.39634102233867	0.000316827914280598	0.0221530819026904	-1.19981261893876	13.5429917619235	14.7428043808623	9683	38
TMEM132A	3.89117909182561	0.000318844975420634	0.0221530819026904	-1.24220356827644	8.01788200300365	9.26008557128009	9616	105
ZNF565	7.55405496364921	0.000318880471558364	0.0221530819026904	-1.18092732098434	12.7687980515303	13.9497253725147	9694	27
PTPRB	2.64846947585216	0.000324709739057526	0.0224511392564467	-1.36403549964513	7.7742576775556	9.13829317720073	9485	236
NNT	4.31763455046607	0.000332492026442436	0.0228796262955172	-1.21386674761094	7.18187724389571	8.39574399150665	9638	83
DCC	2.47030090745024	0.000334043484882114	0.0228796262955172	-1.44159416004541	9.21988909112878	10.6614832511742	9448	273
USP19	4.14278326418597	0.000337315379057648	0.0228899256527089	-1.24759669474535	10.0132337161191	11.2608304108645	9630	91
PCDHA11	3.62190023584394	0.000338390087110561	0.0228899256527089	-1.27503753177824	9.48736200309997	10.7623995348782	9601	120
NCKAP5	2.61493698276622	0.000338900811637886	0.0228899256527089	-1.37515076654011	8.18049775373628	9.55564852027639	9484	237
CD4	5.11967979120522	0.000341433180839341	0.0229546943560606	-1.21435434092049	10.6769447414053	11.8912990823258	9662	59
ZEB2	3.26064626140733	0.000348126493118619	0.0232973275601263	-1.29460993194584	8.7853305184938	10.0799404504396	9574	147
ATG2A	3.34478181825071	0.000353904859104669	0.0235758812304932	-1.26921037971235	7.55109104137966	8.82030142109202	9581	140
PIK3CB	4.30696586178109	0.000356781587740759	0.0236594844706815	-1.2301873403391	9.07703233683577	10.3072196771749	9638	83
DYNC1H1	2.44917783229322	0.000359739183396225	0.0236894819094917	-1.39572828801091	7.94034286927384	9.33607115728475	9457	264
